SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
416,21050009,21051230,1221,52
417,21100611,21101877,1266,45
418,21151210,21152421,1211,55
419,21201811,21203067,1256,45
420,21252409,21253631,1222,34
421,21303009,21304276,1267,45
422,21353610,21354815,1205,62
423,21404210,21405447,1237,32
424,21454810,21456036,1226,11
425,21505409,21506665,1256,30
426,21556009,21557242,1233,23
427,21606610,21607857,1247,14
428,21657210,21658413,1203,44
429,21707810,21709055,1245,42
430,21758409,21759632,1223,22
431,21809009,21810240,1231,8
432,21859610,21860843,1233,2
433,21910210,21911436,1226,7
434,21960810,21962017,1207,19
435,22011409,22012646,1237,30
436,22062009,22063222,1213,24
437,22112611,22113849,1238,25
438,22163210,22164482,1272,34
439,22213810,22215091,1281,9
440,22264409,22265632,1223,58
441,22315009,22316313,1304,81
442,22365610,22366823,1213,91
443,22416211,22417443,1232,19
444,22466811,22468041,1230,2
445,22517409,22518650,1241,11
446,22568009,22569243,1234,7
447,22618610,22619849,1239,5
448,22669210,22670438,1228,11
449,22719810,22721051,1241,13
450,22770409,22771612,1203,38
451,22821009,22822241,1232,29
452,22871610,22872828,1218,14
453,22922210,22923440,1230,12
454,22972810,22974017,1207,23
455,23023409,23024662,1253,46
456,23074009,23075227,1218,35
457,23124610,23125865,1255,37
458,23175210,23176426,1216,39
459,23225810,23227071,1261,45
460,23276409,23277616,1207,54
461,23327009,23328277,1268,61
462,23377610,23378823,1213,55
463,23428210,23429448,1238,25
464,23478811,23480037,1226,12
465,23529409,23530666,1257,31
466,23580009,23581219,1210,47
467,23630610,23631862,1252,42
468,23681210,23682422,1212,40
469,23731811,23733043,1232,20
470,23782409,23783629,1220,12
471,23833009,23834241,1232,12
472,23883611,23884824,1213,19
473,23934210,23935448,1238,25
474,23984810,23986021,1211,27
475,24035409,24036646,1237,26
476,24086009,24087219,1210,27
477,24136610,24137858,1248,38
478,24187210,24188418,1208,40
479,24237810,24239063,1253,45
480,24288409,24289616,1207,46
481,24339009,24340281,1272,65
482,24389610,24390824,1214,58
483,24440210,24441440,1230,16
484,24490810,24492029,1219,11
485,24541409,24542654,1245,26
486,24592009,24593227,1218,27
487,24642610,24643874,1264,46
488,24693210,24694447,1237,27
489,24743810,24745056,1246,9
490,24794409,24795633,1224,22
491,24845009,24846238,1229,5
492,24895610,24896820,1210,19
493,24946210,24947469,1259,49
494,24996810,24998022,1212,47
495,25047409,25048647,1238,26
496,25098009,25099264,1255,17
497,25148610,25149871,1261,6
498,25199210,25200467,1257,4
499,25249810,25251080,1270,13
500,25300409,25301633,1224,46
501,25351009,25352269,1260,36
502,25401611,25402837,1226,34
503,25452210,25453457,1247,21
504,25502810,25504030,1220,27
505,25553409,25554683,1274,54
506,38728,39958,1230,44
507,89329,90597,1268,38
508,139929,141177,1248,20
509,190529,191794,1265,17
510,241128,242364,1236,29
511,291728,293020,1292,56
512,342329,343579,1250,42
513,392929,394212,1283,33
514,443529,444769,1240,43
515,494128,495386,1258,18
516,544728,545955,1227,31
517,595329,596618,1289,62
518,645929,647170,1241,48
519,696529,697795,1266,25
520,747128,748356,1228,38
521,797728,798997,1269,41
522,848329,849556,1227,42
523,898929,900176,1247,20
524,949529,950762,1233,14
525,1000128,1001402,1274,41
526,1050728,1051963,1235,39
527,1101329,1102586,1257,22
528,1151929,1153154,1225,32
529,1202529,1203775,1246,21
530,1253128,1254372,1244,2
531,1303728,1304981,1253,9
532,1354329,1355536,1207,46
533,1404929,1406188,1259,52
534,1455529,1456741,1212,47
535,1506128,1507383,1255,43
536,1556728,1557955,1227,28
537,1607329,1608562,1233,6
538,1657929,1659147,1218,15
539,1708529,1709764,1235,17
540,1759128,1760341,1213,22
541,1809728,1810977,1249,36
542,1860329,1861548,1219,30
543,1910929,1912181,1252,33
544,1961529,1962754,1225,27
545,2012128,2013379,1251,26
546,2062728,2063952,1224,27
547,2113329,2114590,1261,37
548,2163929,2165158,1229,32
549,2214529,2215760,1231,2
550,2265128,2266357,1229,2
551,2315728,2316989,1261,32
552,2366329,2367544,1215,46
553,2416929,2418176,1247,32
554,2467529,2468746,1217,30
555,2518128,2519379,1251,34
556,2568728,2569955,1227,24
557,2619329,2620583,1254,27
558,2669929,2671151,1222,32
559,2720529,2721780,1251,29
560,2771128,2772377,1249,2
561,2821728,2822974,1246,3
562,2872329,2873548,1219,27
563,2922929,2924165,1236,17
564,2973529,2974774,1245,9
565,3024128,3025383,1255,10
566,3074728,3075944,1216,39
567,3125329,3126578,1249,33
568,3175929,3177151,1222,27
569,3226529,3227784,1255,33
570,3277128,3278361,1233,22
571,3327728,3328966,1238,5
572,3378329,3379545,1216,22
573,3428929,3430181,1252,36
574,3479529,3480747,1218,34
575,3530128,3531376,1248,30
576,3580728,3581956,1228,20
577,3631329,3632583,1254,26
578,3681929,3683143,1214,40
579,3732529,3733781,1252,38
580,3783128,3784333,1205,47
581,3833728,3834982,1254,49
582,3884329,3885549,1220,34
583,3934929,3936165,1236,16
584,3985529,3986782,1253,17
585,4036128,4037380,1252,1
586,4086728,4087952,1224,28
587,4137329,4138571,1242,18
588,4187929,4189151,1222,20
589,4238529,4239784,1255,33
590,4289128,4290346,1218,37
591,4339728,4340982,1254,36
592,4390329,4391569,1240,14
593,4440929,4442158,1229,11
594,4491529,4492743,1214,15
595,4542128,4543364,1236,22
596,4592728,4593985,1257,21
597,4643329,4644607,1278,21
598,4693929,4695151,1222,56
599,4744529,4745773,1244,22
600,4795128,4796354,1226,18
601,4845728,4846995,1267,41
602,4896329,4897585,1256,11
603,4946929,4948173,1244,12
604,4997529,4998791,1262,18
605,5048128,5049376,1248,14
606,5098728,5099940,1212,36
607,5149329,5150576,1247,35
608,5199929,5201160,1231,16
609,5250529,5251765,1236,5
610,5301128,5302350,1222,14
611,5351728,5352967,1239,17
612,5402329,5403541,1212,27
613,5452929,5454170,1241,29
614,5503529,5504755,1226,15
615,5554128,5555376,1248,22
616,5604728,5605929,1201,47
617,5655329,5656583,1254,53
618,5705929,5707148,1219,35
619,5756529,5757761,1232,13
620,5807128,5808358,1230,2
621,5857728,5858967,1239,9
622,5908329,5909562,1233,6
623,5958929,5960182,1253,20
624,6009529,6010763,1234,19
625,6060128,6061388,1260,26
626,6110728,6111957,1229,31
627,6161329,6162580,1251,22
628,6211929,6213140,1211,40
629,6262529,6263810,1281,70
630,6313128,6314354,1226,55
631,6363728,6364975,1247,21
632,6414329,6415562,1233,14
633,6464929,6466170,1241,8
634,6515529,6516739,1210,31
635,6566128,6567388,1260,50
636,6616728,6617945,1217,43
637,6667329,6668572,1243,26
638,6717929,6719160,1231,12
639,6768529,6769769,1240,9
640,6819128,6820367,1239,1
641,6869728,6870983,1255,16
642,6920329,6921562,1233,22
643,6970929,6972187,1258,25
644,7021529,7022740,1211,47
645,7072128,7073385,1257,46
646,7122728,7123954,1226,31
647,7173329,7174569,1240,14
648,7223929,7225129,1200,40
649,7274529,7275790,1261,61
650,7325128,7326343,1215,46
651,7375728,7376976,1248,33
652,7426329,7427543,1214,34
653,7476929,7478179,1250,36
654,7527529,7528745,1216,34
655,7578128,7579373,1245,29
656,7628728,7629958,1230,15
657,7679329,7680557,1228,2
658,7729929,7731149,1220,8
659,7780529,7781754,1225,5
660,7831128,7832359,1231,6
661,7881728,7882984,1256,25
662,7932329,7933571,1242,14
663,7982929,7984159,1230,12
664,8033529,8034740,1211,19
